chr	start	end	size	dataset
chr2	88795859	88892642	96783	dbVar
chr2	88812126	90226630	1414504	dbVar
chr2	88823151	91584581	2761430	dbVar
chr2	88827183	90179318	1352135	dbVar
chr2	88835061	88876072	41011	dbVar
chr2	88860440	90208808	1348368	dbVar
chr2	88861558	88886255	24697	dbVar
chr2	88864054	88935194	71140	dbVar
chr2	88868734	89134302	265568	dbVar
chr2	88992948	90220843	1227895	dbVar
chr2	89298590	90221827	923237	dbVar
chr2	89299689	89921155	621466	dbVar
chr2	89325232	89896577	571345	dbVar
chr2	89958806	89958864	58	dbVar
chr2	90224551	91538530	1313979	dbVar
chr2	90259408	91596143	1336735	dbVar
chr2	90259629	91598565	1338936	dbVar
chr2	90266156	91591323	1325167	dbVar
chr2	90273339	91585403	1312064	dbVar
chr2	91587631	91595042	7411	dbVar
chr2	92117609	92117692	83	dbVar
chr2	92126964	92127038	74	dbVar
chr2	94707629	96454862	1747233	dbVar
chr2	95395525	95645138	249613	dbVar
chr2	95418118	95658602	240484	dbVar
chr2	95432430	95686232	253802	dbVar
chr2	95544968	95545584	616	dbVar
chr2	95544971	95545592	621	dbVar
chr2	95545199	95545559	360	dbVar
chr2	96535277	101580741	5045464	dbVar
chr2	97123622	97579837	456215	dbVar
chr2	97138482	97565175	426693	dbVar
chr2	97199286	97580869	381583	dbVar
chr2	97200001	97581211	381210	dbVar
chr2	97201761	97513144	311383	dbVar
chr2	97218671	97503050	284379	dbVar
chr2	97222052	97495168	273116	dbVar
chr2	97229354	97300023	70669	dbVar
chr2	97267356	97428056	160700	dbVar
chr2	97292004	97549139	257135	dbVar
chr2	97310051	97357751	47700	dbVar
chr2	97310350	97563332	252982	dbVar
chr2	97875982	97895701	19719	dbVar
chr2	97876351	97895451	19100	dbVar
chr2	100182777	100185825	3048	dbVar
chr2	103822566	103836768	14202	dbVar
chr2	105065530	105065818	288	dbVar
chr2	108181219	108181278	59	dbVar
chr2	108529513	112348583	3819070	dbVar
chr2	108645938	110513105	1867167	dbVar
chr2	109715703	110617513	901810	dbVar
chr2	109858396	112338466	2480070	dbVar
chr2	110198974	110433231	234257	dbVar
chr2	110199548	110432474	232926	dbVar
chr2	110203541	110429443	225902	dbVar
chr2	110219616	110410289	190673	dbVar
chr2	114497370	114497452	82	dbVar
chr2	116136712	116136948	236	dbVar
chr2	116216886	116224700	7814	dbVar
chr2	116220524	116224770	4246	dbVar
chr2	116220723	116224731	4008	dbVar
chr2	116220728	116224733	4005	dbVar
chr2	116950534	116950630	96	dbVar
chr2	117174196	117176507	2311	dbVar
chr2	117752048	117766102	14054	dbVar
chr2	117752072	117766078	14006	dbVar
chr2	118103290	118103666	376	dbVar
chr2	118771208	118773028	1820	dbVar
chr2	118771427	118773043	1616	dbVar
chr2	120383129	120384130	1001	dbVar
chr2	122274253	122274325	72	dbVar
chr2	122612751	122613026	275	dbVar
chr2	122718994	122724929	5935	dbVar
chr2	122719023	122724927	5904	dbVar
chr2	122719027	122724929	5902	dbVar
chr2	123334037	126077247	2743210	dbVar
chr2	123559109	123559162	53	dbVar
chr2	124294110	124295669	1559	dbVar
chr2	124294124	124295688	1564	dbVar
chr2	124294181	124295662	1481	dbVar
chr2	125217336	125217634	298	dbVar
chr2	126375709	126399754	24045	dbVar
chr2	128927475	128928551	1076	dbVar
chr2	128927600	128928241	641	dbVar
chr2	128927738	128928410	672	dbVar
chr2	128946127	128964688	18561	dbVar
chr2	128946150	128964677	18527	dbVar
chr2	129998498	131303981	1305483	dbVar
chr2	130023832	131372368	1348536	dbVar
chr2	130067286	130067360	74	dbVar
chr2	130125164	131507916	1382752	dbVar
chr2	130160541	131553532	1392991	dbVar
chr2	130176283	131484082	1307799	dbVar
chr2	130248621	131398849	1150228	dbVar
chr2	130250517	131396763	1146246	dbVar
chr2	131128993	131129738	745	dbVar
chr2	131129003	131129733	730	dbVar
chr2	131129004	131129146	142	dbVar
chr2	131636432	131636593	161	dbVar
chr2	131777356	131821780	44424	dbVar
chr2	131777458	131821930	44472	dbVar
chr2	131777501	131821964	44463	dbVar
chr2	132218463	132218933	470	dbVar
chr2	132761217	132762255	1038	dbVar
chr2	132933093	133106142	173049	dbVar
chr2	136678591	136679316	725	dbVar
chr2	136678612	136679611	999	dbVar
chr2	136908185	139235533	2327348	dbVar
chr2	137419431	137448667	29236	dbVar
chr2	137584111	137585394	1283	dbVar
chr2	138206244	138251634	45390	dbVar
chr2	138246286	138250835	4549	dbVar
chr2	138246675	138251774	5099	dbVar
chr2	138246761	138251064	4303	dbVar
chr2	138246800	138251753	4953	dbVar
chr2	138246802	138251645	4843	dbVar
chr2	138246815	138290613	43798	dbVar
chr2	138246827	138251633	4806	dbVar
chr2	138247370	138251661	4291	dbVar
chr2	138247420	138251596	4176	dbVar
chr2	138248423	138289983	41560	dbVar
chr2	141153292	141153343	51	dbVar
chr2	143158864	143160035	1171	dbVar
chr2	145831700	145831773	73	dbVar
chr2	149930332	149930404	72	dbVar
chr2	151939875	156013254	4073379	dbVar
chr2	152603287	152604929	1642	dbVar
chr2	152604594	152604920	326	dbVar
chr2	152929279	152929336	57	dbVar
chr2	153278868	153349706	70838	dbVar
chr2	154150484	166689404	12538920	dbVar
chr2	154150493	166689390	12538897	dbVar
chr2	154150498	166690713	12540215	dbVar
chr2	154298575	154298918	343	dbVar
chr2	158278608	158278965	357	dbVar
chr2	159239146	159241521	2375	dbVar
chr2	161282135	161282215	80	dbVar
chr2	163836875	163836967	92	dbVar
chr2	165822718	165961942	139224	dbVar
chr2	166103586	166311608	208022	dbVar
chr2	166544753	166550413	5660	dbVar
chr2	166753916	166753984	68	dbVar
chr2	167316023	167323742	7719	dbVar
chr2	167316080	167327688	11608	dbVar
chr2	168042656	168050245	7589	dbVar
chr2	168721517	168721616	99	dbVar
chr2	175818488	175819622	1134	dbVar
chr2	176430726	176451811	21085	dbVar
chr2	176508974	176521936	12962	dbVar
chr2	177453985	177462128	8143	dbVar
chr2	177616942	177617041	99	dbVar
chr2	179438014	179438066	52	dbVar
chr2	179546669	179551426	4757	dbVar
chr2	179546696	179551474	4778	dbVar
chr2	179546698	179551477	4779	dbVar
chr2	179550935	179551476	541	dbVar
chr2	179551495	179557451	5956	dbVar
chr2	179551497	179557449	5952	dbVar
chr2	181537771	181537857	86	dbVar
chr2	182811786	182814626	2840	dbVar
chr2	183382729	187257917	3875188	dbVar
chr2	183704351	183707340	2989	dbVar
chr2	183704448	183707283	2835	dbVar
chr2	183704449	183707282	2833	dbVar
chr2	183704477	183707282	2805	dbVar
chr2	183706348	183706793	445	dbVar
chr2	184815258	187297052	2481794	dbVar
chr2	186265885	217531466	31265581	dbVar
chr2	186291874	186292507	633	dbVar
chr2	188420866	188420959	93	dbVar
chr2	189894028	189894084	56	dbVar
chr2	191577278	191582663	5385	dbVar
chr2	192106826	192111061	4235	dbVar
chr2	193148088	193155194	7106	dbVar
chr2	195114614	195119900	5286	dbVar
chr2	195114657	195119895	5238	dbVar
chr2	195119716	195119894	178	dbVar
chr2	195976490	195977049	559	dbVar
chr2	196611036	196611106	70	dbVar
chr2	202791192	202791255	63	dbVar
chr2	207645319	207645513	194	dbVar
chr2	207645327	207645477	150	dbVar
chr2	207910473	230142930	22232457	dbVar
chr2	208176899	208177082	183	dbVar
chr2	210985629	211003362	17733	dbVar
chr2	211436216	211436297	81	dbVar
chr2	212161318	212161601	283	dbVar
chr2	218211484	218212740	1256	dbVar
chr2	218695246	218706704	11458	dbVar
chr2	221703356	221704407	1051	dbVar
chr2	224174491	227005381	2830890	dbVar
chr2	224427982	224428367	385	dbVar
chr2	224428232	224429234	1002	dbVar
chr2	224428263	224428365	102	dbVar
chr2	224428276	224428363	87	dbVar
chr2	224428402	224429403	1001	dbVar
chr2	224428411	224429384	973	dbVar
chr2	226619501	227899802	1280301	dbVar
chr2	227210386	227211222	836	dbVar
chr2	227743879	227748699	4820	dbVar
chr2	229978974	229980330	1356	dbVar
chr2	233520002	233578330	58328	dbVar
chr2	233524094	233578005	53911	dbVar
chr2	233525686	233562734	37048	dbVar
chr2	233526629	233562734	36105	dbVar
chr2	233527492	233562734	35242	dbVar
chr2	233533033	233562734	29701	dbVar
chr2	233561164	233577860	16696	dbVar
chr2	233561640	233580994	19354	dbVar
chr2	233562199	233578917	16718	dbVar
chr2	233562663	233616815	54152	dbVar
chr2	233562717	233577850	15133	dbVar
chr2	233562758	233577835	15077	dbVar
chr2	233565880	233577835	11955	dbVar
chr2	233577836	233605512	27676	dbVar
chr2	238317298	238319070	1772	dbVar
chr2	240643067	240689254	46187	dbVar
chr2	240645489	240692712	47223	dbVar
chr2	240649476	240686618	37142	dbVar
chr2	240676144	240698757	22613	dbVar
chr2	240682451	240692301	9850	dbVar
chr2	240683689	240731727	48038	dbVar
chr2	240684860	240729997	45137	dbVar
chr2	240685141	240728790	43649	dbVar
chr2	240685536	240729078	43542	dbVar
chr2	240687189	240688476	1287	dbVar
chr2	241781644	241789960	8316	dbVar
chr20	935024	947995	12971	dbVar
chr20	1611664	1915147	303483	dbVar
chr20	1730277	1732411	2134	dbVar
chr20	2515505	5510660	2995155	dbVar
chr20	2714909	7963285	5248376	dbVar
chr20	3982048	3982565	517	dbVar
chr20	5471728	5504073	32345	dbVar
chr20	7787472	7787551	79	dbVar
chr20	7991409	19521695	11530286	dbVar
chr20	8761842	8762030	188	dbVar
chr20	9957977	9975585	17608	dbVar
chr20	10182278	10183787	1509	dbVar
chr20	10970000	10971429	1429	dbVar
chr20	11064977	12979471	1914494	dbVar
chr20	12636342	12679465	43123	dbVar
chr20	13431000	13432567	1567	dbVar
chr20	14116939	14119319	2380	dbVar
chr20	15721289	15721374	85	dbVar
chr20	15910910	15911104	194	dbVar
chr20	16288897	16288993	96	dbVar
chr20	16409941	16410000	59	dbVar
chr20	18061285	18061711	426	dbVar
chr20	18643803	18644435	632	dbVar
chr20	19634855	19650174	15319	dbVar
chr20	20994030	20995522	1492	dbVar
chr20	21890767	21913768	23001	dbVar
chr20	22411628	22415968	4340	dbVar
chr20	23433925	23478051	44126	dbVar
chr20	25752804	26267405	514601	dbVar
chr20	25773460	25773519	59	dbVar
chr20	25773476	26120437	346961	dbVar
chr20	25773690	26127891	354201	dbVar
chr20	25775152	26120602	345450	dbVar
chr20	25845152	26010758	165606	dbVar
chr20	25866240	26026147	159907	dbVar
chr20	26230271	26230473	202	dbVar
chr20	29319342	30827749	1508407	dbVar
chr20	34403267	34406416	3149	dbVar
chr20	37754017	37754079	62	dbVar
chr20	39737827	39738597	770	dbVar
chr20	41704959	41707867	2908	dbVar
chr20	43125679	43188486	62807	dbVar
chr20	43342900	43344295	1395	dbVar
chr20	44677105	44683620	6515	dbVar
chr20	44677204	44683574	6370	dbVar
chr20	44683228	44683535	307	dbVar
chr20	45335721	45337328	1607	dbVar
chr20	47793543	47898692	105149	dbVar
chr20	47802355	47894432	92077	dbVar
chr20	47862383	47899155	36772	dbVar
chr20	47868931	47893946	25015	dbVar
chr20	47894718	48598015	703297	dbVar
chr20	47895236	48516320	621084	dbVar
chr20	47930878	47931040	162	dbVar
chr20	50791730	50791936	206	dbVar
chr20	51030545	51045753	15208	dbVar
chr20	51585760	51586847	1087	dbVar
chr20	54820182	54820267	85	dbVar
chr20	56335686	56335799	113	dbVar
chr20	59732848	59733452	604	dbVar
chr20	60821260	60834677	13417	dbVar
chr20	60899296	60899633	337	dbVar
chr20	61329483	61333728	4245	dbVar
chr20	61397942	61404103	6161	dbVar
chr20	62184623	62186181	1558	dbVar
chr20	63384985	63386287	1302	dbVar
chr20	63632031	63638809	6778	dbVar
chr21	5499296	6340532	841236	dbVar
chr21	6211689	8324623	2112934	dbVar
chr21	6321671	9373355	3051684	dbVar
chr21	8658601	9558694	900093	dbVar
chr21	8759253	10582421	1823168	dbVar
chr21	8996477	10105875	1109398	dbVar
chr21	10076452	10076518	66	dbVar
chr21	10154950	10755389	600439	dbVar
chr21	10271425	10324722	53297	dbVar
chr21	10325401	10325508	107	dbVar
chr21	10751410	10751483	73	dbVar
chr21	10752238	10764798	12560	dbVar
chr21	10755740	10755833	93	dbVar
chr21	10755982	10756087	105	dbVar
chr21	10792534	10813968	21434	dbVar
chr21	10798014	10798095	81	dbVar
chr21	12966675	12966757	82	dbVar
chr21	13972490	13993947	21457	dbVar
chr21	13983853	14060393	76540	dbVar
chr21	14046635	14063446	16811	dbVar
chr21	19130360	23504699	4374339	dbVar
chr21	19275963	19276430	467	dbVar
chr21	19276790	19277242	452	dbVar
chr21	20333755	29497356	9163601	dbVar
chr21	20638264	20638339	75	dbVar
chr21	21718318	21718381	63	dbVar
chr21	22138349	22140079	1730	dbVar
chr21	22651766	22651864	98	dbVar
chr21	23443796	23447673	3877	dbVar
chr21	23554604	23555555	951	dbVar
chr21	23955292	23955343	51	dbVar
chr21	26001731	26002211	480	dbVar
chr21	26001836	26002391	555	dbVar
chr21	26001840	26002385	545	dbVar
chr21	26001843	26002384	541	dbVar
chr21	26001849	26002576	727	dbVar
chr21	26001997	26002518	521	dbVar
chr21	26648250	26649427	1177	dbVar
chr21	26648304	26649374	1070	dbVar
chr21	26648312	26649514	1202	dbVar
chr21	26648315	26649406	1091	dbVar
chr21	26648363	26649407	1044	dbVar
chr21	27359790	27363393	3603	dbVar
chr21	27626628	27626726	98	dbVar
chr21	29118228	29118292	64	dbVar
chr21	30252686	30252748	62	dbVar
chr21	31114257	31116156	1899	dbVar
chr21	37477685	37479975	2290	dbVar
chr21	39989557	40032309	42752	dbVar
chr21	39990629	40031600	40971	dbVar
chr21	40028385	40033652	5267	dbVar
chr21	40029153	40076357	47204	dbVar
chr21	40031333	40070145	38812	dbVar
chr21	44539936	44702390	162454	dbVar
chr21	44655243	44685821	30578	dbVar
chr22	10755237	11018645	263408	dbVar
chr22	11356166	16080741	4724575	dbVar
chr22	11359629	12536381	1176752	dbVar
chr22	12068766	12818137	749371	dbVar
chr22	18124184	21311654	3187470	dbVar
chr22	18128526	18137643	9117	dbVar
chr22	18152320	21355779	3203459	dbVar
chr22	18339130	20345217	2006087	dbVar
chr22	18355599	21238139	2882540	dbVar
chr22	18388493	18388587	94	dbVar
chr22	18483514	20345217	1861703	dbVar
chr22	18533879	21391376	2857497	dbVar
chr22	18538799	21435441	2896642	dbVar
chr22	20678502	21078820	400318	dbVar
chr22	21095408	21275828	180420	dbVar
chr22	21095689	21278548	182859	dbVar
chr22	21133381	21239343	105962	dbVar
chr22	21135811	21234862	99051	dbVar
chr22	21136657	21233878	97221	dbVar
chr22	21136847	21239800	102953	dbVar
chr22	21175818	21276702	100884	dbVar
chr22	21225167	24611520	3386353	dbVar
chr22	21240762	24638718	3397956	dbVar
chr22	21325960	27250706	5924746	dbVar
chr22	21392201	21578467	186266	dbVar
chr22	21398843	21571877	173034	dbVar
chr22	21404274	21571213	166939	dbVar
chr22	21404562	21491445	86883	dbVar
chr22	21405855	21567396	161541	dbVar
chr22	21437459	21459316	21857	dbVar
chr22	21469439	21501934	32495	dbVar
chr22	22112004	30485805	8373801	dbVar
chr22	22757698	22757763	65	dbVar
chr22	23372535	23372612	77	dbVar
chr22	23602774	25427380	1824606	dbVar
chr22	23676272	24601322	925050	dbVar
chr22	23913469	23956032	42563	dbVar
chr22	23929223	23956032	26809	dbVar
chr22	23950336	23956032	5696	dbVar
chr22	27247104	27247503	399	dbVar
chr22	27397152	27400874	3722	dbVar
chr22	27920530	27920606	76	dbVar
chr22	29410168	32149833	2739665	dbVar
chr22	32164183	32180352	16169	dbVar
chr22	32287769	32287843	74	dbVar
chr22	36201644	36255347	53703	dbVar
chr22	36533060	36538234	5174	dbVar
chr22	36533062	36538251	5189	dbVar
chr22	39203473	39237824	34351	dbVar
chr22	45618141	47590983	1972842	dbVar
chr22	45618201	47591020	1972819	dbVar
chr22	45618209	47590995	1972786	dbVar
chr22	45791459	45791569	110	dbVar
chr22	45947008	45949644	2636	dbVar
chr22	46120010	46125729	5719	dbVar
chr22	48476458	48480864	4406	dbVar
chr22	48476468	48480688	4220	dbVar
chr22	49500598	49500686	88	dbVar
chr22	50028824	50029172	348	dbVar
chr3	275420	275504	84	dbVar
chr3	580474	811427	230953	dbVar
chr3	1432641	1624739	192098	dbVar
chr3	1866818	1876780	9962	dbVar
chr3	2423920	2424226	306	dbVar
chr3	2456778	2488764	31986	dbVar
chr3	3432363	77775308	74342945	dbVar
chr3	3977499	3977561	62	dbVar
chr3	4449830	7453702	3003872	dbVar
chr3	4850977	4851037	60	dbVar
chr3	5079547	5079629	82	dbVar
chr3	5111802	11290661	6178859	dbVar
chr3	5630983	5631060	77	dbVar
chr3	6384249	6384335	86	dbVar
chr3	6604532	6612950	8418	dbVar
chr3	7358365	7359103	738	dbVar
chr3	7504778	7504917	139	dbVar
chr3	8093783	8093854	71	dbVar
chr3	8093784	8093854	70	dbVar
chr3	8779293	8818870	39577	dbVar
chr3	9853622	9857394	3772	dbVar
chr3	9884957	9885403	446	dbVar
chr3	10698417	10698831	414	dbVar
chr3	12465018	12465349	331	dbVar
chr3	12947706	12948665	959	dbVar
chr3	15253177	15254275	1098	dbVar
chr3	17766544	17768664	2120	dbVar
chr3	18614402	18615993	1591	dbVar
chr3	22709719	22741075	31356	dbVar
chr3	22709960	22741078	31118	dbVar
chr3	22709967	22741103	31136	dbVar
chr3	25034672	25040685	6013	dbVar
chr3	28439041	28439118	77	dbVar
chr3	30045280	30047983	2703	dbVar
chr3	30372061	30372378	317	dbVar
chr3	31348457	31348597	140	dbVar
chr3	31359267	115305555	83946288	dbVar
chr3	32603625	32605563	1938	dbVar
chr3	34191656	34219290	27634	dbVar
chr3	36299434	36300655	1221	dbVar
chr3	39469255	39469310	55	dbVar
chr3	41320652	41321909	1257	dbVar
chr3	43794131	43794519	388	dbVar
chr3	44697701	44700667	2966	dbVar
chr3	44699498	44700793	1295	dbVar
chr3	44699519	44700772	1253	dbVar
chr3	44699520	44700902	1382	dbVar
chr3	44699524	44700768	1244	dbVar
chr3	44699545	44700911	1366	dbVar
chr3	47431374	47432315	941	dbVar
chr3	47719412	47737869	18457	dbVar
chr3	48486243	48486317	74	dbVar
chr3	50846253	50898059	51806	dbVar
chr3	50848004	50897194	49190	dbVar
chr3	50850881	50888881	38000	dbVar
chr3	50851467	50888881	37414	dbVar
chr3	50853251	50888881	35630	dbVar
chr3	50855332	50888881	33549	dbVar
chr3	50886877	50897480	10603	dbVar
chr3	50886925	50897507	10582	dbVar
chr3	50887130	50898104	10974	dbVar
chr3	50887229	50897596	10367	dbVar
chr3	50887340	50935026	47686	dbVar
chr3	50887801	50937800	49999	dbVar
chr3	50887802	50936759	48957	dbVar
chr3	50887886	50898296	10410	dbVar
chr3	50887960	50897584	9624	dbVar
chr3	50888092	50898324	10232	dbVar
chr3	50888612	50900106	11494	dbVar
chr3	50889563	50896627	7064	dbVar
chr3	50896628	50928458	31830	dbVar
chr3	52396209	52397240	1031	dbVar
chr3	54763814	54763899	85	dbVar
chr3	55033799	55033900	101	dbVar
chr3	57416191	57418483	2292	dbVar
chr3	58518680	58520460	1780	dbVar
chr3	60860460	60860545	85	dbVar
chr3	61835516	61835825	309	dbVar
chr3	63118649	63120046	1397	dbVar
chr3	63119814	63120043	229	dbVar
chr3	64997613	65003479	5866	dbVar
chr3	65201766	65203461	1695	dbVar
chr3	66089636	66089714	78	dbVar
chr3	67265661	67281167	15506	dbVar
chr3	67908732	67941933	33201	dbVar
chr3	67973883	67974793	910	dbVar
chr3	68019795	68020554	759	dbVar
chr3	68741655	68741854	199	dbVar
chr3	70177504	70177785	281	dbVar
chr3	70667260	70667731	471	dbVar
chr3	70667272	70667726	454	dbVar
chr3	72045705	72045800	95	dbVar
chr3	72732346	72735803	3457	dbVar
chr3	73090973	73091234	261	dbVar
chr3	75454480	75455714	1234	dbVar
chr3	75454493	75455714	1221	dbVar
chr3	75454508	75455714	1206	dbVar
chr3	75454642	75455829	1187	dbVar
chr3	75509354	125830269	50320915	dbVar
chr3	78539988	78542420	2432	dbVar
chr3	80013716	80016105	2389	dbVar
chr3	81035397	81035747	350	dbVar
chr3	81035752	81035932	180	dbVar
chr3	81796710	90088646	8291936	dbVar
chr3	82154395	82154855	460	dbVar
chr3	82154411	82154463	52	dbVar
chr3	82969214	82969501	287	dbVar
chr3	82979384	156052041	73072657	dbVar
chr3	83291807	83340703	48896	dbVar
chr3	83292135	83340472	48337	dbVar
chr3	84459707	84459804	97	dbVar
chr3	85918129	85945965	27836	dbVar
chr3	88633189	88637221	4032	dbVar
chr3	94954441	94954810	369	dbVar
chr3	95011115	95011350	235	dbVar
chr3	95240410	95244159	3749	dbVar
chr3	95729395	95729464	69	dbVar
chr3	96640330	96739363	99033	dbVar
chr3	99154003	99154386	383	dbVar
chr3	100950457	102238701	1288244	dbVar
chr3	102375816	102375881	65	dbVar
chr3	104316574	104318894	2320	dbVar
chr3	106441422	123757239	17315817	dbVar
chr3	107241823	107241903	80	dbVar
chr3	107391198	107391270	72	dbVar
chr3	107965612	108021480	55868	dbVar
chr3	108000324	108020009	19685	dbVar
chr3	108000975	108023284	22309	dbVar
chr3	108000984	108022206	21222	dbVar
chr3	108000994	108022221	21227	dbVar
chr3	108001000	108023285	22285	dbVar
chr3	108002904	108024523	21619	dbVar
chr3	108007470	108056389	48919	dbVar
chr3	111556218	111556960	742	dbVar
chr3	111834216	111834284	68	dbVar
chr3	112664934	112724350	59416	dbVar
chr3	115641516	196317048	80675532	dbVar
chr3	116742357	116742942	585	dbVar
chr3	121538372	121538690	318	dbVar
chr3	122747650	122780890	33240	dbVar
chr3	123108558	123108626	68	dbVar
chr3	123171723	123172991	1268	dbVar
chr3	124604707	124604800	93	dbVar
chr3	125976700	133745712	7769012	dbVar
chr3	126546726	194544842	67998116	dbVar
chr3	127777672	127779073	1401	dbVar
chr3	127777726	127778884	1158	dbVar
chr3	127817051	129001533	1184482	dbVar
chr3	128146628	128146697	69	dbVar
chr3	128627926	128656634	28708	dbVar
chr3	128628295	128659576	31281	dbVar
chr3	130347738	130347847	109	dbVar
chr3	131097796	131117496	19700	dbVar
chr3	131098131	131117100	18969	dbVar
chr3	131969007	131978043	9036	dbVar
chr3	131969013	131978043	9030	dbVar
chr3	132163857	162515530	30351673	dbVar
chr3	133129877	133130004	127	dbVar
chr3	133151824	133152570	746	dbVar
chr3	133969596	133970887	1291	dbVar
chr3	135740576	135741037	461	dbVar
chr3	138617976	138618027	51	dbVar
chr3	139116013	139116097	84	dbVar
chr3	140297064	140604914	307850	dbVar
chr3	144562913	144562979	66	dbVar
chr3	145273268	145273556	288	dbVar
chr3	147964294	147964373	79	dbVar
chr3	149829878	149839638	9760	dbVar
chr3	150155476	150155816	340	dbVar
chr3	151494433	151500922	6489	dbVar
chr3	153509158	153520191	11033	dbVar
chr3	158176833	158195443	18610	dbVar
chr3	158176928	158195379	18451	dbVar
chr3	158744299	158753330	9031	dbVar
chr3	159077901	159078384	483	dbVar
chr3	159078084	159078167	83	dbVar
chr3	159078086	159078168	82	dbVar
chr3	159137798	159138377	579	dbVar
chr3	159828365	159828443	78	dbVar
chr3	160560529	160561350	821	dbVar
chr3	161636910	161637528	618	dbVar
chr3	161637177	161637249	72	dbVar
chr3	162084638	162084931	293	dbVar
chr3	162807952	162829870	21918	dbVar
chr3	162807953	162829870	21917	dbVar
chr3	162807954	162829870	21916	dbVar
chr3	162827576	162830662	3086	dbVar
chr3	162954211	163001137	46926	dbVar
chr3	163005400	163005642	242	dbVar
chr3	163952803	163952857	54	dbVar
chr3	164123312	164123390	78	dbVar
chr3	165059296	165059929	633	dbVar
chr3	165092857	165093125	268	dbVar
chr3	165314129	165314847	718	dbVar
chr3	167554810	167555227	417	dbVar
chr3	168387770	168388224	454	dbVar
chr3	169134647	178289115	9154468	dbVar
chr3	170806492	170807737	1245	dbVar
chr3	172455533	172455914	381	dbVar
chr3	172455537	172456233	696	dbVar
chr3	174231038	174235601	4563	dbVar
chr3	175369524	175369607	83	dbVar
chr3	176297616	176297720	104	dbVar
chr3	179134768	179138927	4159	dbVar
chr3	179138954	179143776	4822	dbVar
chr3	183101393	183103344	1951	dbVar
chr3	183116478	183116567	89	dbVar
chr3	184438924	184439020	96	dbVar
chr3	184590944	184593206	2262	dbVar
chr3	185455382	185455464	82	dbVar
chr3	185523675	185525526	1851	dbVar
chr3	185982182	185982244	62	dbVar
chr3	186911110	186913380	2270	dbVar
chr3	187380305	187423396	43091	dbVar
chr3	187383330	187421312	37982	dbVar
chr3	187417608	187463040	45432	dbVar
chr3	187418205	187466062	47857	dbVar
chr3	187420484	187461822	41338	dbVar
chr3	187420571	187459924	39353	dbVar
chr3	187421486	187461545	40059	dbVar
chr3	187422358	187459705	37347	dbVar
chr3	188752993	188753133	140	dbVar
chr3	188855675	191951008	3095333	dbVar
chr3	188999534	189014776	15242	dbVar
chr3	189153271	189154533	1262	dbVar
chr3	189875578	190111960	236382	dbVar
chr3	189973777	190075303	101526	dbVar
chr3	191115677	191116265	588	dbVar
chr3	191115777	191116221	444	dbVar
chr3	192748589	193267038	518449	dbVar
chr3	195599609	197702085	2102476	dbVar
chr3	195609546	195993149	383603	dbVar
chr3	195642073	196007090	365017	dbVar
chr3	195642687	197470209	1827522	dbVar
chr3	195644796	195944378	299582	dbVar
chr3	195656867	197664505	2007638	dbVar
chr3	195662439	196022403	359964	dbVar
chr3	195662501	197664701	2002200	dbVar
chr3	195665332	196021526	356194	dbVar
chr3	195668712	197620301	1951589	dbVar
chr3	195670914	197659419	1988505	dbVar
chr3	195672622	196018182	345560	dbVar
chr3	195687196	195972059	284863	dbVar
chr3	195689031	195997027	307996	dbVar
chr3	195700220	197658202	1957982	dbVar
chr3	195702459	195990620	288161	dbVar
chr3	195705108	197701283	1996175	dbVar
chr3	195706281	197651220	1944939	dbVar
chr3	195727081	197667517	1940436	dbVar
chr3	195946959	197645670	1698711	dbVar
chr3	196550795	196553014	2219	dbVar
chr3	196736277	196736521	244	dbVar
chr3	196866419	196866505	86	dbVar
chr4	19785	190112822	190093037	dbVar
chr4	19884	190112891	190093007	dbVar
chr4	19889	190112893	190093004	dbVar
chr4	29162	190097387	190068225	dbVar
chr4	2822026	17704071	14882045	dbVar
chr4	3910795	9776479	5865684	dbVar
chr4	7405969	163717285	156311316	dbVar
chr4	7945864	7946202	338	dbVar
chr4	8377435	8379580	2145	dbVar
chr4	8398067	17505522	9107455	dbVar
chr4	9116940	9355751	238811	dbVar
chr4	9121774	9365242	243468	dbVar
chr4	9212770	9382458	169688	dbVar
chr4	9424694	9425351	657	dbVar
chr4	9471646	9471721	75	dbVar
chr4	10631373	10631576	203	dbVar
chr4	10838649	10839126	477	dbVar
chr4	11235281	11384708	149427	dbVar
chr4	11768259	11768331	72	dbVar
chr4	12108227	12108331	104	dbVar
chr4	12190304	12190386	82	dbVar
chr4	12275347	12275428	81	dbVar
chr4	14508688	14508752	64	dbVar
chr4	14824766	14842784	18018	dbVar
chr4	14835993	14836374	381	dbVar
chr4	16915408	16915853	445	dbVar
chr4	16915413	16915853	440	dbVar
chr4	17032630	17032720	90	dbVar
chr4	18175378	18269869	94491	dbVar
chr4	19943056	19943549	493	dbVar
chr4	25225994	25232461	6467	dbVar
chr4	26485083	26485825	742	dbVar
chr4	26813665	26846386	32721	dbVar
chr4	28855570	28958870	103300	dbVar
chr4	33098067	33105080	7013	dbVar
chr4	33787075	33805660	18585	dbVar
chr4	40233407	40235440	2033	dbVar
chr4	40233408	40235438	2030	dbVar
chr4	42117983	42118233	250	dbVar
chr4	44175036	44175314	278	dbVar
chr4	44207117	44208236	1119	dbVar
chr4	45025693	45027730	2037	dbVar
chr4	45417786	45418062	276	dbVar
chr4	45754693	45755363	670	dbVar
chr4	45754709	45755227	518	dbVar
